series,total_comp_cost,total_comp_pct,wages_cost,wages_pct,total_benefits_cost,total_benefits_pct,paid_leave_cost,paid_leave_pct,supplemental_pay_cost,supplemental_pay_pct,insurance_cost,insurance_pct,retirement_savings_cost,retirement_savings_pct,legally_required_cost,legally_required_pct
"Installation,maintenance,and repairoccupations",50.29,100.0,33.57,66.7,16.72,33.3,3.61,7.2,2.68,5.3,4.90,9.7,1.73,3.4,3.80,7.6
"Production,transportation,and materialmovingoccupations",37.63,100.0,24.70,65.6,12.93,34.4,2.41,6.4,2.51,6.7,4.01,10.7,1.09,2.9,2.92,7.8
Productionoccupations,38.47,100.0,25.16,65.4,13.32,34.6,2.49,6.5,2.61,6.8,4.12,10.7,1.13,2.9,2.96,7.7
Transportationandmaterial movingoccupations,33.82,100.0,22.62,66.9,11.20,33.1,2.07,6.1,2.02,6.0,3.52,10.4,0.87,2.6,2.73,8.1
Aircraftmanufacturingindustry,80.47,100.0,51.09,63.5,29.37,36.5,7.46,9.3,4.06,5.0,7.97,9.9,4.55,5.7,5.33,6.6
Service-providingindustries3,45.59,100.0,32.17,70.6,13.42,29.4,3.58,7.8,1.72,3.8,3.37,7.4,1.50,3.3,3.25,7.1
"Management,professional,and relatedoccupations",76.89,100.0,52.84,68.7,24.05,31.3,7.32,9.5,3.45,4.5,5.51,7.2,2.86,3.7,4.90,6.4
"Management,business,and financialoccupations",86.80,100.0,58.46,67.4,28.34,32.6,8.57,9.9,4.77,5.5,6.43,7.4,3.22,3.7,5.34,6.2
Professionalandrelated occupations,72.10,100.0,50.13,69.5,21.98,30.5,6.72,9.3,2.82,3.9,5.07,7.0,2.68,3.7,4.69,6.5
Salesandofficeoccupations,34.93,100.0,25.02,71.6,9.91,28.4,2.42,6.9,1.04,3.0,2.98,8.5,0.95,2.7,2.53,7.2
Salesandrelatedoccupations,34.05,100.0,25.59,75.2,8.45,24.8,2.04,6.0,1.03,3.0,2.00,5.9,0.81,2.4,2.57,7.6
Officeandadministrativesupport occupations,35.68,100.0,24.52,68.7,11.16,31.3,2.76,7.7,1.04,2.9,3.81,10.7,1.06,3.0,2.49,7.0
Serviceoccupations,23.38,100.0,17.98,76.9,5.40,23.1,1.02,4.4,0.62,2.6,1.33,5.7,0.38,1.6,2.05,8.8
"Naturalresources,construction,and maintenanceoccupations",45.77,100.0,31.92,69.7,13.85,30.3,3.13,6.8,1.50,3.3,3.71,8.1,1.93,4.2,3.58,7.8
"Installation,maintenance,and repairoccupations",47.01,100.0,32.78,69.7,14.23,30.3,3.30,7.0,1.52,3.2,3.74,8.0,2.04,4.3,3.62,7.7
"Production,transportation,and materialmovingoccupations",35.44,100.0,24.79,70.0,10.65,30.0,2.08,5.9,1.16,3.3,3.07,8.7,1.39,3.9,2.94,8.3
Productionoccupations,31.25,100.0,23.14,74.0,8.11,26.0,1.71,5.5,1.22,3.9,1.81,5.8,0.71,2.3,2.66,8.5
Transportationandmaterial movingoccupations,36.17,100.0,25.08,69.3,11.09,30.7,2.15,5.9,1.15,3.2,3.29,9.1,1.51,4.2,2.99,8.3
"Trade,transportation,andutilities industry",38.48,100.0,27.47,71.4,11.01,28.6,2.52,6.6,1.19,3.1,2.93,7.6,1.39,3.6,2.98,7.7
relatedoccupations,71.52,100.0,50.41,70.5,21.11,29.5,6.42,9.0,2.69,3.8,4.49,6.3,2.78,3.9,4.73,6.6
"Management,business,and financialoccupations",85.80,100.0,59.47,69.3,26.33,30.7,8.09,9.4,3.79,4.4,5.59,6.5,3.39,4.0,5.47,6.4
Professionalandrelated occupations,58.07,100.0,41.88,72.1,16.19,27.9,4.84,8.3,1.65,2.8,3.46,6.0,2.20,3.8,4.04,7.0
Salesandofficeoccupations,30.18,100.0,22.77,75.4,7.41,24.6,1.72,5.7,0.73,2.4,1.91,6.3,0.69,2.3,2.35,7.8
Salesandrelatedoccupations,28.93,100.0,22.32,77.2,6.60,22.8,1.53,5.3,0.66,2.3,1.55,5.4,0.58,2.0,2.29,7.9
Officeandadministrative supportoccupations,34.80,100.0,24.42,70.2,10.38,29.8,2.44,7.0,1.02,2.9,3.25,9.3,1.09,3.1,2.58,7.4
Serviceoccupations,25.33,100.0,18.80,74.2,6.53,25.8,1.23,4.8,0.60,2.4,1.72,6.8,0.78,3.1,2.19,8.7
"Naturalresources,construction, andmaintenanceoccupations",50.44,100.0,34.98,69.4,15.45,30.6,3.50,6.9,1.84,3.6,3.87,7.7,2.32,4.6,3.91,7.8
"Installation,maintenance,and repairoccupations",50.94,100.0,35.52,69.7,15.41,30.3,3.56,7.0,1.80,3.5,3.84,7.5,2.29,4.5,3.92,7.7
"Production,transportation,and materialmovingoccupations",37.92,100.0,26.07,68.7,11.85,31.3,2.32,6.1,1.22,3.2,3.54,9.3,1.67,4.4,3.10,8.2
Transportationandmaterial movingoccupations,38.00,100.0,26.07,68.6,11.93,31.4,2.31,6.1,1.19,3.1,3.60,9.5,1.71,4.5,3.11,8.2
Wholesaletradeindustry,53.03,100.0,37.52,70.8,15.51,29.2,4.18,7.9,2.06,3.9,3.77,7.1,1.73,3.3,3.77,7.1
Salesandofficeoccupations.,53.65,100.0,38.91,72.5,14.74,27.5,3.95,7.4,1.67,3.1,3.80,7.1,1.59,3.0,3.72,6.9
Officeandadministrative supportoccupations,35.82,100.0,25.28,70.6,10.54,29.4,2.59,7.2,1.19,3.3,3.26,9.1,0.90,2.5,2.60,7.3
"Production,transportation,and materialmoving occupations",33.52,100.0,23.63,70.5,9.89,29.5,2.12,6.3,1.31,3.9,2.72,8.1,0.94,2.8,2.80,8.3
